,cell_label_1,cell_label_2,weight,level
7,3_1_5,4_2_9,1,3
8,3_2_6,4_9_2,1,3
9,3_3_6,4_9_2,1,3
10,3_4_5,4_8_2,1,3
11,3_4_6,4_7_2,1,3
12,3_4_7,4_8_2,2,3
13,3_4_7,4_9_2,1,3
14,3_4_9,4_7_2,1,3
15,3_4_9,4_8_2,1,3
16,3_5_5,4_6_1,1,3
17,3_5_7,4_7_2,1,3
18,3_5_7,4_8_2,1,3
19,3_5_9,4_7_1,1,3
20,3_5_9,4_8_1,1,3
21,3_6_4,4_7_1,1,3
22,3_6_6,4_7_3,1,3
23,3_8_0,4_4_0,1,3
24,3_8_2,4_5_0,1,3
25,3_8_2,4_7_0,1,3
26,3_8_4,4_6_0,1,3
27,3_9_0,4_1_8,1,3
28,3_9_0,4_5_0,1,3
29,3_9_1,4_4_0,1,3
30,3_9_2,4_4_0,1,3
31,3_9_2,4_7_0,1,3
32,3_9_4,4_5_0,2,3
33,3_9_4,4_6_1,1,3
34,3_9_5,4_6_0,2,3
0,4_0_9,5_0_9,6,4
1,4_1_8,5_8_1,1,4
2,4_1_9,5_0_9,3,4
3,4_2_9,5_8_2,1,4
4,4_4_0,5_8_0,2,4
5,4_4_0,5_9_0,1,4
6,4_5_0,5_7_0,1,4
7,4_5_0,5_8_0,3,4
8,4_6_0,5_7_0,1,4
9,4_6_0,5_8_0,2,4
10,4_6_1,5_8_0,1,4
11,4_6_1,5_9_1,1,4
12,4_7_0,5_8_0,1,4
13,4_7_0,5_9_0,1,4
14,4_7_1,5_8_1,1,4
15,4_7_1,5_9_1,1,4
16,4_7_2,5_9_0,2,4
17,4_7_2,5_9_1,1,4
18,4_7_3,5_9_0,1,4
19,4_8_1,5_9_1,1,4
20,4_8_2,5_9_0,2,4
21,4_8_2,5_9_1,3,4
22,4_9_2,5_8_2,2,4
23,4_9_2,5_9_1,1,4
0,5_0_9,6_0_0,4,5
1,5_0_9,6_0_1,4,5
2,5_0_9,6_0_2,1,5
3,5_7_0,6_9_5,1,5
4,5_7_0,6_9_7,1,5
5,5_8_0,6_9_4,1,5
6,5_8_0,6_9_5,1,5
7,5_8_0,6_9_6,3,5
8,5_8_0,6_9_7,1,5
9,5_8_0,6_9_8,3,5
10,5_8_1,6_8_7,1,5
11,5_8_1,6_9_3,1,5
12,5_8_2,6_7_9,3,5
13,5_9_0,6_8_7,2,5
14,5_9_0,6_8_8,1,5
15,5_9_0,6_9_5,1,5
16,5_9_0,6_9_6,2,5
17,5_9_0,6_9_9,1,5
18,5_9_1,6_7_8,1,5
19,5_9_1,6_8_4,1,5
20,5_9_1,6_8_5,2,5
21,5_9_1,6_8_6,2,5
22,5_9_1,6_8_7,1,5
23,5_9_1,6_8_8,1,5
